ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MM,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
415.6,30.6,570.9,34.55,544.1,36.05,225.85,636.6,1064.4,308.3,1721.95,41.55,277.6,1457.6,417.4,271.7,1000.95,743.8,2505.2,237.65,13.05,10367.35,190.8,720.5,281.0,48.3,849.6,339.65,227.2,2719.1,86.5,139.3,141.8,259.85,193.1,31.5,675.0,135.35,104.0,1190.9,1115.1,88.6,291.5,483.0,5775.35
417.0,31.7,565.85,35.25,528.95,35.55,243.95,629.6,1027.6,305.05,1584.2,40.7,281.0,1495.15,412.7,275.1,986.55,740.0,2508.25,221.95,13.15,9947.6,191.95,701.95,278.85,48.0,840.75,348.9,232.55,2760.15,89.15,137.8,142.9,280.65,200.35,30.3,621.8,133.5,106.35,1205.4,1139.1,88.45,294.05,474.6,6117.7
415.0,34.25,551.4,34.85,519.15,34.95,262.15,643.65,1048.4,304.35,1457.5,41.0,287.05,1598.5,380.3,265.4,944.35,719.05,2480.15,239.75,12.8,10188.9,191.5,723.15,285.45,47.6,844.4,351.45,228.45,2751.15,89.75,137.25,143.95,271.3,197.55,30.5,593.65,134.9,104.85,1231.0,1182.35,88.1,283.85,480.15,6607.15
437.75,36.75,547.45,35.05,540.7,34.55,251.9,621.2,1050.8,308.3,1513.05,40.0,285.7,1726.4,363.85,262.55,936.0,731.75,2517.4,258.95,12.8,9745.7,183.5,720.15,280.9,46.8,839.2,325.65,234.4,2718.55,91.85,135.5,146.6,293.0,200.5,30.85,611.95,126.75,108.55,1217.1,1174.5,89.55,284.3,471.15,6078.6
423.2,39.7,544.25,34.85,531.65,34.7,260.5,619.8,1133.35,312.5,1632.35,42.6,307.45,1864.55,393.0,257.2,970.4,737.25,2412.4,267.05,12.9,8970.15,190.65,741.45,273.4,46.0,846.5,317.85,241.3,2700.95,91.75,136.5,145.8,316.45,204.75,31.0,633.15,136.3,115.15,1222.45,1149.7,89.9,282.15,465.75,5592.35
413.6,38.9,520.15,33.95,528.1,33.65,281.35,601.35,1201.1,317.35,1549.35,42.35,325.85,1893.8,424.45,247.15,999.05,702.15,2605.4,247.45,12.9,8252.55,192.4,797.0,274.25,46.0,854.05,292.7,237.55,2694.85,92.6,133.75,151.8,328.6,213.3,32.7,586.4,142.7,122.65,1235.55,1140.9,90.0,278.9,454.65,5145.0
413.1,35.8,531.85,32.75,522.4,33.05,268.55,567.8,1161.45,308.15,1425.4,39.0,319.85,1755.4,458.45,227.4,947.5,657.15,2397.8,229.25,12.8,7592.35,184.4,733.25,276.5,45.0,861.1,296.7,240.25,2714.55,91.35,130.5,151.0,302.35,196.35,34.85,539.5,131.3,114.15,1233.9,1127.05,85.15,277.7,477.15,4733.4
411.2,34.7,541.9,30.85,529.8,33.7,259.3,578.8,1169.3,304.65,1444.05,38.1,339.4,1615.0,469.8,209.25,952.15,667.5,2540.45,210.95,12.9,7797.65,182.2,698.75,277.75,44.5,855.25,315.5,258.05,2747.75,91.95,132.5,149.75,302.25,196.2,35.4,566.05,133.55,118.25,1216.85,1116.3,83.55,285.45,499.15,4780.85
409.55,32.8,549.05,33.0,527.6,33.0,254.75,590.5,1148.35,301.4,1422.5,37.15,335.3,1485.8,459.25,192.55,932.35,695.15,2548.5,202.85,12.95,8415.3,185.5,682.8,275.8,45.15,871.65,314.4,269.1,2747.15,92.05,126.0,144.65,326.15,203.9,35.25,537.45,128.7,115.2,1243.9,1124.9,77.15,294.8,504.1,4883.85
415.4,35.45,578.8,33.65,519.7,33.45,272.65,597.35,1239.45,298.7,1535.25,40.15,361.35,1377.55,490.95,207.95,1006.95,746.65,2736.35,219.1,13.05,9088.55,191.45,730.95,271.4,44.9,857.9,339.55,276.1,2760.95,92.15,132.4,142.35,352.25,218.1,35.6,580.45,138.8,123.25,1274.65,1122.5,83.35,297.6,490.55,5274.6
